Family,Species,Authority,Common Name,Respondents (n),Mobility (mean),Mobility (sd),Wingspan,Range size,Larval host breadth,Conservation status
Lycaenidae,Plebejus idas,(Linnaeus),Northern Blue,13,4.15,1.57,22.5,4549269,3,5
Lycaenidae,Plebejus lupini,(Boisduval),Acmon Blue,8,3.38,0.92,22,286441,3,5
Lycaenidae,Plebejus melissa,(W. H. Edwards),Melissa Blue,9,4.67,1.58,23,2621919,3,5
Lycaenidae,Plebejus optilete,(Knoch),Cranberry Blue,6,3.33,1.37,21,2447868,2,5
Lycaenidae,Plebejus saepiolus,(Boisduval),Greenish Blue,16,4.31,1.54,24.5,4473776,3,5
Lycaenidae,Plebejus shasta,(W. H. Edwards),Shasta Blue,4,3.00,0.82,21,716194,3,5
Hesperiidae,Poanes hobomok,(T. Harris),Hobomok Skipper,25,5.64,1.98,28,2286873,3,5
Hesperiidae,Poanes massasoit,(Scudder),Mulberry Wing,7,1.86,1.21,25.5,512785,2,4
Hesperiidae,Poanes viator,(W. H. Edwards),Broad-winged Skipper,11,2.73,1.01,30.5,995406,2,5
Hesperiidae,Poanes zabulon,(Boisduval & Le Conte),Zabulon Skipper ,1,7.00,,,980117,,5
Hesperiidae,Polites draco,(W. H. Edwards),Draco Skipper,3,4.67,1.53,25.5,643494,3,5
Hesperiidae,Polites mystic,(W. H. Edwards),Long Dash Skipper,24,5.10,1.74,26,2316525,3,5
Hesperiidae,Polites origenes,(Fabricius),Crossline Skipper,10,4.50,1.35,26.5,1592270,3,4
Hesperiidae,Polites peckius,(W. Kirby),Peck's Skipper,25,4.76,1.71,23,3317985,3,5
Hesperiidae,Polites rhesus,(W. H. Edwards),Rhesus Skipper,1,6.00,,27.5,,3,4
Hesperiidae,Polites sabuleti,(Boisduval),Sandhill Skipper,3,5.67,2.52,20,903807,3,5
Hesperiidae,Polites sonora,(Scudder),Sonoran Skipper,4,4.75,2.22,26,498916,3,4
Hesperiidae,Polites themistocles,(Latreille),Tawny-edged Skipper,26,4.73,1.73,23.5,3333786,3,5
Nymphalidae,Polygonia comma,(T. Harris),Eastern Comma,28,6.64,1.64,46.5,2301981,3,5
Nymphalidae,Polygonia faunus,(W. H. Edwards),Green Comma,27,5.78,1.48,40.5,,3,5
Nymphalidae,Polygonia gracilis,(Grote & Robinson),Hoary Comma,14,5.93,1.44,38.5,3210732,3,5
Nymphalidae,Polygonia interrogationis,(Fabricius),Question Mark,29,7.00,1.79,56.5,3044427,3,5
Nymphalidae,Polygonia oreas,(W. H. Edwards),Oreas Comma,4,5.00,2.16,48.5,,2,5
Nymphalidae,Polygonia progne,(Cramer),Grey Comma,24,5.96,1.43,43.5,3564721,2,4
