CheckListKey,Genus,Species,Subspecies,CombinedLatin,CommonName,Show,NWquadrant,NEquadrant,SWquadrant,SEquadrant,Kind,Revised,Author,Year,Changed,By,Comment,CountTotal,Countys,Endangered,Synonym,Family,GCKey,grp,SortOrder,tmp_SitesReporting,tmp_TotalCount,tmp_HighCountSite,tmp_HighCount,tmp_HighCountDate,tmp_HighCtyAbbr
4449,Speyeria,diana,,Speyeria diana,Diana,FALSE,N,N,N,N,B,T,Cramer,1775,,,,0,0,"EXTIRPATED, res., rare",,46,40,0,564,0,0,,0,,Hock
4450,Speyeria,cybele,cybele,Speyeria cybele cybele,Great Spangled Fritillary,TRUE,,,,,B,T,Fabricius,1775,,,,23942,105,"res., common",,46,40,0,565  a,58,1840,Kitty Todd Nature Preserve,44,7/15/2011,Luca
4451,Speyeria,aphrodite,aphrodite,Speyeria aphrodite aphrodite,Aphrodite Fritillary,TRUE,,,,,B,T,Fabricius,1787,,,,431,30,"res., rare to common, northernly and southeastern",,46,40,0,566  a,6,27,Woltz Road,4,7/3/2011,Hock
4451  b,Speyeria,aphrodite,alcestis,Speyeria aphrodite alcestis,Alcestis Fritillary,FALSE,,,,,B,T,W. H. Edwards,1877,,,northern subspecies,0,0,"res., rare to common, northernly and southeastern",,46,40,0,566  c,0,0,,0,,
4452,Speyeria,idalia,,Speyeria idalia,Regal Fritillary,FALSE,N,N,N,N,B,T,Drury,1773,,,,0,0,"ENDANGERED (potentially), res., rare to uncommon",,46,40,0,567,0,0,,0,,
4459,Speyeria,atlantis,atlantis,Speyeria atlantis atlantis,Atlantis Fritillary,FALSE,N,N,N,N,B,T,W. H. Edwards,1862,,,,0,0,"irregular immigrant or res., rare",Mountain Silver-spot,46,40,0,574  a,0,0,,0,,
4464  a,Boloria,selene,myrina,Boloria selene myrina,Silver-bordered Fritillary,TRUE,,,N,N,B,T,Cramer,1777,,,,187,19,"THREATENED, res., rare",Boloria  s. m.,46,40,0,579  a,2,7,Wolf Creek Environm'l Center,6,6/26/2011,Medi
4464  b,Boloria,selene,nebraskensis,Boloria selene nebraskensis,Silver-bordered Fritillary,FALSE,,,N,N,B,T,Holland,1928,,,central and west-central subspecies,0,0,"very rare, may be on verge of extinction",Boloria s. n.,46,40,0,579  b,,,,,,
4465,Boloria,bellona,bellona,Boloria bellona bellona,Meadow Fritillary,TRUE,,,,,B,T,Fabricius,1775,,,,3348,81,"res., common",Clossiana b. b.,46,40,0,580  a,21,222,Pine Hollow,64,8/27/2011,Summ
4481,Phyciodes,tharos,tharos,Phyciodes tharos tharos,Pearl Crescent,TRUE,,,,,B,T,Drury,1773,,,,121089,118,"res., common",,46,40,0,623  b,68,7272,Terra Vista,217,9/14/2011,Cuyh
4481  b,Phyciodes,selenis,,Phyciodes selenis,Northern Crescent,TRUE,,,,,B,T,W. Kirby,1837,,,"P. pascoensis (W. G. Wright), P. cocyta (Cramer, 1777), P. morpheus (Fabricius, 1775)",2,2,"Res., rare","P. tharos pascoensis., see below",46,40,0,623  d,0,0,,0,,Medi
4482,Phyciodes,batesii,,Phyciodes batesii,Tawny Crescent,FALSE,,,,,B,T,Reakirt,1865,,,,0,0,Species of possible occurrence in Ohio,,46,40,0,624,,,,,,
4489,Chlosyne,gorgone,,Chlosyne gorgone,Gorgone Checkerspot,FALSE,,,,,B,T,Hubner,1810,,,,0,0,Species of possible occurrence in Ohio,Charidryas g.,,,,605  a,0,0,,0,,
4490,Chlosyne,nycteis,nycteis,Chlosyne nycteis nycteis,Silvery Checkerspot,TRUE,,,,,B,T,Dubleday & Hewitson,1847,,,,1262,37,"res., uncommon, southernly",Charidryas n. n.,46,40,0,606  a,16,169,Harsha Lake - Corps Area,18,7/30/2011,Cler
4491,Chlosyne,harrisii,harrisii,Chlosyne harrisii harrisii,Harris' Checkerspot,TRUE,N,,N,N,B,T,Scudder,1864,,,,13,3,"res., rare to uncommon, northeasternly",Charidryas h. h.,46,40,0,607  a,0,0,,0,,Port
4491  b,Chlosyne,harrisii,liggetti,Chlosyne harrisii liggetti,Harris' Checkerspot,FALSE,N,,N,N,B,T,Avinoff,1930,,,northern subspecies,0,0,,Charidryas h. l.,46,40,0,607  b,,,,,,
4516,Euphydryas,phaeton,phaeton,Euphydryas phaeton phaeton,Baltimore,TRUE,,,,,B,T,Drury,1773,,,,765,17,"res., rare to uncommon, northeasternly",,46,40,0,635  a,3,50,Oakton Preserve,11,6/15/2011,Geau
4522,Limenitis,arthemis,arthemis,Limenitis arthemis arthemis,White Admiral,TRUE,,,,,B,T,Drury,1773,,,northeastern subspecies,8,6,"strays, uncommon, northeasternly",Basilarchia a. a.,46,40,0,663  a,0,0,,0,,Summ
4522  b,Limenitis,arthemis,astyanax,Limenitis arthemis astyanax,Red-spotted Purple,TRUE,,,,,B,T,Fabricius,1775,,,,4793,107,"res., uncommon to common",Basilarchia a. a.,46,40,0,663  c,42,157,Girdled Road Park,5,7/24/2011,Lake
4523,Limenitis,archippus,archippus,Limenitis archippus archippus,Viceroy,TRUE,,,,,B,T,Cramer,1776,,,,11598,97,"res., uncommon to common, localized",Basilarchia a. a.,46,40,0,664  a,43,520,Kitty Todd Nature Preserve,16,7/30/2011,Luca
4554,Anaea,andria,,Anaea andria,Goatweed Leafwing,TRUE,N,N,N,N,B,F,Scudder,1875,,,,2,2,"irregular immigrant, rare",,47,40,0,695,0,0,,0,,Haml
4557,Asterocampa,celtis,celtis,Asterocampa celtis celtis,Hackberry Emperor,TRUE,,,,,B,T,Boisduval & LeConte,1837,,,,7812,57,"res., uncommon to common, westernly",,47,40,0,698  a,22,212,East Fork State Pk-Horseman's,13,8/2/2011,Cler
4562.1,Asterocampa,clyton,clyton,Asterocampa clyton clyton,Tawny Emperor,TRUE,,,,,B,T,Boisduval & LeConte,1837,,,,709,44,"res., rare to uncommon, localized, southwesternly",,47,40,0,700  a,8,33,East Fork State Pk-Horseman's,4,7/1/2011,Cler
